Relation,Head,Tail,Weight
antonym,ab_extra,ab_intra,1.0
antonym,ab_intra,ab_extra,1.0
antonym,abactinal,actinal,1.0
antonym,abandon,acquire,1.0
antonym,abandon,arrogate,1.0
antonym,abandon,embrace,1.0
antonym,abandon,engage,1.0
antonym,abandon,gain,1.0
antonym,abandon,join,1.0
antonym,abandon,maintain,1.0
antonym,abandon,retain,1.0
antonym,abandon,unite,1.0
atlocation,clock,department_store,1.0
atlocation,clock,desk,4.472
atlocation,clock,house,2.828
atlocation,clock,office,2.0
atlocation,crisps,table,1.0
atlocation,crisps,vending_machines,1.0
atlocation,crockery,cupboard,1.0
atlocation,crocs,united_states,0.5
atlocation,fungus,damp_spot,1.0
atlocation,fungus,damp_warm_place,1.0
atlocation,fungus,damp_wood,2.0
atlocation,fungus,damp_woods,1.0
atlocation,fungus,dank_place,1.0
atlocation,fungus,dark,1.0
atlocation,fungus,dark_and_dank_place,1.0
atlocation,fungus,dark_damp_area,2.828
atlocation,fungus,dark_damp_place,2.0
atlocation,carnival_rides,fairgrounds,1.0
atlocation,carousel,carnival,2.828
atlocation,carpet,at_hotel,1.0
capableof,adult,drive_car,1.0
capableof,adult,drive_train,1.0
capableof,adult,explain_rules_to_child,1.0
capableof,adult,feed_and_take_care_of_itself,1.0
capableof,adult,gift_knowledge_to_child,1.0
capableof,adult,hand_toy_to_child,1.0
capableof,adult,help_child,3.464
capableof,adult,keep_property,1.0
capableof,adults,act_like_infants,1.0
capableof,adults,care_for_babies,1.0
capableof,adults,carry_infants,1.0
capableof,adults,count,2.0
capableof,adults,demand_respect_from_children,1.0
capableof,adults,dress_themselves,2.828
capableof,adults,drink_beer,2.0
capableof,adults,drive_vehicle,1.0
capableof,adults,eat_sushi,2.0
capableof,adults,fail_to_pass_test,1.0
causes,competing_against,testing_yourself_against_another_person,1.0
causes,competing_against,try_hardest,1.0
causes,computing_sum,get_total_amount,1.0
causes,computing_sum,getting_answer,4.899
causes,computing_sum,getting_right_answer,1.0
causes,computing_sum,getting_total,1.0
causes,computing_sum,having_answer,2.0
causes,computing_sum,having_total,1.0
causes,computing_sum,headache,3.464
causes,computing_sum,insight,1.0
causes,computing_sum,know_total,2.0
causes,computing_sum,knowing_total,1.0
causes,computing_sum,may_get_wrong_answer,1.0
causes,computing_sum,number,1.0
causes,computing_sum,obtaining_total,1.0
causes,computing_sum,reaching_total,1.0
causes,computing_sum,receiving_total,1.0
desires,person,have_day_off,1.0
desires,person,have_diamonds,2.0
desires,person,have_easy,1.0
desires,person,have_enough_food,2.0
desires,person,have_enough_to_eat,1.0
desires,person,have_everyone_happy_with,2.0
desires,person,have_everything,1.0
desires,person,have_fast_internet_acess,1.0
desires,person,have_femily,1.0
desires,person,have_firm_body,1.0
desires,person,have_fond_memories,1.0
desires,person,have_fortune,1.0
desires,person,have_free_time,1.0
desires,person,have_friends,1.0
desires,person,have_fulfilling_life,1.0
desires,person,have_fun_in_life,2.0
desires,person,have_fun_on_weekends,1.0
desires,person,have_fun_weekend,2.0
desires,person,have_future,1.0
desires,person,have_good_bones,1.0
desires,person,have_good_day,2.828
desires,person,have_good_eyesight,1.0
desires,person,have_good_feelings,1.0
desires,person,have_good_friends,2.828
desires,person,have_good_life,1.0
desires,person,have_good_memories,2.0
desires,person,have_good_memory,1.0
desires,person,have_good_relationships_with_others,1.0
desires,person,have_good_skin,1.0
desires,person,have_great_sex,2.0
desires,person,have_happy_childhood,1.0
desires,person,have_happy_family,1.0
desires,person,have_healthy_life,1.0
desires,person,have_healthy_sex_life,1.0
desires,person,have_home_to_live_in,2.828
desires,person,have_hot_water,1.0
desires,person,have_influence,1.0
desires,person,have_inner_peace,2.828
desires,person,have_interesting_job,1.0
desires,person,have_large_vocabulary,1.0
desires,person,have_lasting_friendships,1.0
desires,person,have_long_live,2.0
desires,person,have_loving_family,1.0
desires,person,have_many_good_friends,2.0
desires,person,have_meaningful_life,2.0
desires,person,have_minimum_necessities_of_life,1.0
desires,person,have_money_to_buy_chocolate,2.0
desires,person,have_more,1.0
hascontext,bridge,card_games,1.0
hascontext,bridge,communication,1.0
hascontext,bridge,computing,1.0
hascontext,bridge,music,1.0
hascontext,bridge,wrestling,1.0
hascontext,bridge_and_tunnel,new_york_city,1.0
hascontext,bridge_and_tunnel,pejorative,1.0
hascontext,bridge_and_tunnel,slang,1.0
hassubevent,maintain_good_health,avoid_guns,1.0
hassubevent,maintain_good_health,avoid_hate,1.0
hassubevent,maintain_good_health,avoid_heavily_processed_foods,2.0
hassubevent,maintain_good_health,avoid_highly_processed_food,1.0
hassubevent,maintain_good_health,avoid_illegal_drugs,1.0
hassubevent,maintain_good_health,avoid_losing_sleep,1.0
hassubevent,maintain_good_health,avoid_marijuana,1.0
hassubevent,maintain_good_health,avoid_much_sunlight,1.0
hassubevent,maintain_good_health,avoid_poison,1.0
hassubevent,maintain_good_health,avoid_racism,1.0
hassubevent,maintain_good_health,avoid_smoking_marijuana,1.0
hassubevent,maintain_good_health,avoid_smoking_tobacco,1.0
hassubevent,maintain_good_health,avoid_tobacco,1.0
hassubevent,maintain_good_health,avoid_unpleasant_people,1.0
hassubevent,maintain_good_health,avoid_war,1.0
hassubevent,maintain_good_health,become_vegan,1.0
hassubevent,maintain_good_health,calm,1.0
hassubevent,maintain_good_health,care_about_people,1.0
hassubevent,maintain_good_health,chew_food_well,1.0
hassubevent,maintain_good_health,determine_nutritional_needs,1.0
hassubevent,maintain_good_health,do_exercise,1.0
hassubevent,maintain_good_health,dress_warmly_in_cold_weather,1.0
hassubevent,maintain_good_health,drink_very_little_alcoholic_beverages,1.0
hassubevent,maintain_good_health,drive_safely,1.0
hassubevent,maintain_good_health,eat_apple_day,1.0
hassubevent,maintain_good_health,eat_enough_and_exercise,1.0
hassubevent,maintain_good_health,eat_foods_containing_fiber,1.0
hassubevent,maintain_good_health,excersize,1.0
hassubevent,maintain_good_health,exercise,1.0
hassubevent,maintain_good_health,have_fullfilled_sex_life,1.0
hassubevent,maintain_good_health,have_spouse,1.0
hassubevent,maintain_good_health,leave_cat_alone,1.0
hassubevent,maintain_good_health,live_healthy_lifestyle,1.0
hassubevent,maintain_good_health,loving,1.0
hassubevent,maintain_good_health,monitor_health_often,1.0
hassubevent,maintain_good_health,not_eat_too_much_sna,1.0
isa,antidiarrheal,medicine,2.0
isa,antidiarrheal_therapy,drug_therapy,1.0
isa,antidiuretic,medicine,2.0
isa,antidiuretic_agent,medicine,1.0
isa,antido,artificial_language,2.0
isa,antidorcas,mammal_genus,2.0
isa,antidoron,food,0.5
isa,antidote,neutralizer,1.0
isa,antidote,remedy,2.0
isa,antiemetic,medicine,1.0
isa,antiemetic,medicine,2.0
isa,antiemetic_therapy,drug_therapy,1.0
isa,antiepileptic,anticonvulsant,1.0
isa,antiestablishmentarianism,doctrine,2.0
isa,antietam,national_cemetery_in_maryland,1.0
isa,antifeminist,bigot,2.0
isa,antiferromagnetism,magnetism,2.0
isa,antifibrinolytic_agent,medicine,1.0
isa,antiflatulent,agent,2.0
isa,antifouling_paint,paint,2.0
isa,antifreeze,automotive_fluid,1.0
isa,antifreeze,liquid,2.0
isa,antifungal,agent,2.0
isa,antigen,antigen,1.0
isa,antigen,carbohydrate,1.0
isa,antigen,tangible_thing,1.0
isa,antigen,substance,2.0
isa,antigenes,person,0.5
isa,antigenic_determinant,site,2.0
isa,antigone,play,0.5
isa,antigonia,fish_genus,2.0
isa,antigonia,fish,0.5
isa,antigorite,serpentine,1.0
isa,antigorite,serpentine,1.0
isa,gardens,often_in_yards,1.0
isa,gardens,places_where_plants_grow,1.0
isa,gardens,pleasant_outdoor_place,1.0
isa,gardens,pleasant_places_to,1.0
isa,garding,town,0.5
isa,gardnerian_wicca,wicca,1.0
isa,gardon,river,0.5
isa,garfield,fictional_character,0.5
isa,garfield,station,0.5
isa,garfield,station,0.5
isa,garfish,fish,0.5
isa,gargamel,comics_character,0.5
isa,garganey,bird,0.5
isa,garlic,food_ingredient,1.0
isa,garlic,flavorer,2.0
isa,garlic,alliaceous_plant,2.0
isa,tire_iron,rigid_portable_object,1.0
isa,tire_iron,shaped_thing,1.0
isa,tire_iron,hand_tool,2.0
isa,tire_iron,lever,2.0
isa,tire_pump,useful_tool,1.0
isa,tire_pump,mechanical_pump,1.0
isa,tire_rotation,axis_constrained_rotation,1.0
isa,tire_sealant,automotive_product,1.0
isa,tire_sealant,sealant,1.0
isa,garlic_chive,alliaceous_plant,2.0
isa,garlic_clove,bulb,1.0
partof,paragraph,textual_document,1.0
partof,paragraph,text,2.0
partof,victoria,zambezi,2.0
partof,victoria,zambia,2.0
partof,victoria,zimbabwe,2.0
partof,victoria_land,antarctica,2.0
partof,vidalia,georgia,2.0
partof,video,television,2.0
partof,vienna,austria,2.0
partof,vienne,poitou_charentes,0.5
partof,vienne,france,2.0
partof,vientiane,laos,2.0
partof,vieques,puerto_rico,2.0
partof,vietnam,indochina,2.0
partof,viewfinder,camera,1.0
partof,vigo,galicia,0.5
partof,vigo,vigo,0.5
partof,vigo,galicia,0.5
partof,villa,asturias,0.5
partof,villahermosa,tabasco,0.5
partof,villahermosa,mexico,2.0
partof,villarreal,valencian_community,0.5
partof,vilnius,dzūkija,0.5
partof,vilnius,lithuania,0.5
partof,vilnius,lithuania,2.0
partof,visual_purple,rod,2.0
partof,visual_signal,visual_communication,2.0
partof,viti_levu,fiji_islands,2.0
partof,viña_del_mar,valparaíso,0.5
partof,vladivostok,russia,2.0
partof,vocabulary,language,2.0
partof,vocal_cord,larynx,2.0
partof,voider,body_armor,2.0
partof,volapük,international_auxiliary_language,0.5
partof,volcanic_crater,volcano,2.0
partof,volcano,south_park,0.5
partof,volcano_islands,japan,2.0
partof,volcano_islands,pacific,2.0
partof,volga,russia,2.0
partof,volgograd,russia,2.0
partof,volkhov,russia,2.0
partof,parthenon,athens,2.0
receivesaction,carpet,found_on_ground,1.0
receivesaction,carpet,used_as_floor_covering,1.0
receivesaction,carpeted_floors,found_in_many_kinds_of_buildings,1.0
receivesaction,carpeting,used_in_place_of_hardwood_floors,1.0
receivesaction,carpets,bought_at_carpet_stores,1.0
receivesaction,cartoons,animated,1.0
receivesaction,case,tried_in_appeals_court,1.0
receivesaction,cases,heard_in_court_of_law,1.0
receivesaction,cash,denominated_in_dollars,1.0
receivesaction,cash,earned,1.0
receivesaction,cash,measured_in_dollars_and_cents,1.0
receivesaction,castanets,bound_together_with_leather_string,1.0
receivesaction,castanets,used_in_form_of_dance,1.0
receivesaction,casual_describes_clothing,worn_for_comfort_and_function,1.0
receivesaction,cat,attracted_to_parakeets,1.0
receivesaction,cats,thought_to_hate_dogs,1.0
receivesaction,cats_and_dogs,treated_badly,1.0
receivesaction,cats_purr_when,contented,1.0
receivesaction,cattle,fed_in_feed_lots,1.0
receivesaction,cauldron,steeped_in_magical_tradition_and_mystery,1.0
receivesaction,cauliflower_and_broccoli,combined_into_one_super_vegetable,1.0
receivesaction,cavitron,used_in_brain_surgery,1.0
receivesaction,cds,bought_in_stores,1.0
receivesaction,cds_usually,made_from_plastic,1.0
receivesaction,cedar,used_as_shingles_on_houses,1.0
receivesaction,ceilings,painted_with_brush,1.0
receivesaction,ceilings_have_color_which,painted_onto,1.0
receivesaction,celebrity,associated_with_autographs,1.0
receivesaction,celebrity,associated_with_desire,1.0
receivesaction,celebrity,associated_with_fame,1.0
receivesaction,celebrity,associated_with_fans,1.0
relatedto,penis,tarse,1.0
relatedto,penis_pump,cock_pump,1.0
relatedto,penis_worm,priapulid,1.0
relatedto,penised,bedicked,1.0
relatedto,penitence,compunction,2.0
relatedto,penitence,remorse,1.0
relatedto,penitence,repentance,1.0
relatedto,penitence,repentance,2.0
relatedto,penitent,penaunt,1.0
relatedto,penitentiary,penitential,2.0
relatedto,penitentiary,jail,1.0
relatedto,penrose_diagram,carter_penrose_diagram,1.0
relatedto,penrose_process,penrose_mechanism,1.0
relatedto,penrose_staircase,penrose_stairs,1.0
relatedto,penrose_staircase,penrose_steps,1.0
relatedto,penrose_stairs,penrose_staircase,1.0
relatedto,penrose_stairs,penrose_steps,1.0
relatedto,penrose_steps,penrose_staircase,1.0
relatedto,penrose_steps,penrose_stairs,1.0
relatedto,penrose_triangle,penrose_triangle,0.5
relatedto,pensacola,pensacola,0.5
relatedto,pension,pension,0.5
relatedto,pension,hotel,1.0
relatedto,penstemon_linarioides,narrow_leaf_penstemon,2.0
relatedto,penstemon_newberryi,mountain_pride,2.0
relatedto,penstemon_palmeri,balloon_flower,2.0
relatedto,penstemon_rupicola,rock_penstemon,2.0
relatedto,penstemon_serrulatus,cascade_penstemon,2.0
relatedto,penstock,sluice,2.0
relatedto,penstock,sluicegate,2.0
relatedto,pent,shut_up,2.0
relatedto,pent_up,repressed,2.0
relatedto,penta,quinque,1.0
relatedto,pentaborane,pentaborane,0.5
relatedto,pentabromodiphenyl_ether,pentabromodiphenyl_ether,0.5
relatedto,pentabromodiphenyl_ether,pentabromodiphenyl_oxide,1.0
relatedto,pentacene,pentacene,0.5
relatedto,pentachloronitrobenzene,pentachloronitrobenzene,0.5
relatedto,pentagon,pentagon,0.5
relatedto,pentagonal,pentangular,2.0
relatedto,pentagram,pentacle,1.0
relatedto,pentagram,pentalpha,1.0
relatedto,pentagram,pentangle,1.0
relatedto,pentagram,pentacle,2.0
relatedto,pentagraph,pentagraph,0.5
relatedto,pentail,pen_tailed_treeshrew,1.0
relatedto,pentalpha,pentagram,1.0
relatedto,pentalpha,pentangle,1.0
relatedto,pentamethylbenzene,pentamethylbenzene,0.5
relatedto,pentamethylenetetrazol,pentylenetetrazol,2.0
relatedto,pentamidine,pentamidine,0.5
relatedto,pentanal,pentanal,0.5
relatedto,pentanal,pentanaldehyde,1.0
relatedto,pentanal,valeraldehyde,1.0
relatedto,pentane,pentane,0.5
relatedto,pentangle,pentacle,2.0
relatedto,pentanoate,valerate,1.0
relatedto,pentanoic_acid,valeric_acid,2.0
relatedto,pentanol,amyl_alcohol,1.0
relatedto,pentanol,pentyl_alcohol,1.0
relatedto,pentastomid,tongue_worm,2.0
relatedto,pentastomida,pentastomida,0.5
relatedto,pentateuch,books_of_moses,1.0
relatedto,pentateuch,law,1.0
relatedto,pentateuch,torah,1.0
relatedto,pentateuch,torah,2.0
relatedto,pentatone,pentatonic_scale,2.0
relatedto,pentatonic_scale,pentatonic_scale,0.5
relatedto,pentazocine,pentazocine,0.5
relatedto,pentazole,pentazole,0.5
relatedto,pentecost,pentecost,0.5
relatedto,pentecost,feast_of_weeks,1.0
relatedto,pentecost,shavuos,1.0
relatedto,pentecost,shavuot,1.0
relatedto,pentecost,whit,1.0
relatedto,pentecost,whit_sunday,1.0
relatedto,pentecost,whitsun,1.0
relatedto,pentecost,whitsunday,1.0
relatedto,pentecost,shavous,2.0
relatedto,pentecostal,pentecostalist,2.0
relatedto,pentecostalism,pentecostalism,0.5
relatedto,pentel,pentel,0.5
relatedto,pentelic,pentelican,1.0
relatedto,pentene,pentene,0.5
usedfor,gourmet_shop,buy_weird_food,1.0
usedfor,gourmet_shop,buying_imported_foods,1.0
usedfor,gourmet_shop,customers_who_knowlegeable_about_cooking,1.0
usedfor,gourmet_shop,fine_foods,1.0
usedfor,gourmet_shop,hard_to_find_foods,1.0
usedfor,gourmet_shop,icky_foods,1.0
usedfor,lip,pleasure,1.0
usedfor,lip,pouring,1.0
usedfor,vessel,containing_highway_for_blood_flow,1.0
usedfor,vessel,float,1.0
usedfor,vessel,hold_flowers,1.0
usedfor,vessel,moving,1.0
usedfor,vessel,moving_people_around,1.0
usedfor,vessel,navigate,1.0
usedfor,vessel,piloting,1.0
usedfor,vessel,sailing_on_ocean,1.0
usedfor,vessel,ship_goods,1.0
usedfor,vessel,shipping,2.0
usedfor,vessel,store_liquid,1.0
usedfor,vessel,storing_liquids,2.0
usedfor,vessel,transporting_things,1.0
usedfor,vessel,usually_staying_above_water,1.0
usedfor,veterinarians,sick_animals,1.0
usedfor,vibrator,entertain_yourself,1.0
usedfor,vibrator,get_off,1.0
usedfor,vibrator,increase_pleasure_during_sex,1.0
usedfor,vibrator,sexually_stimulate_yourself_or_else,1.0
usedfor,viewing_video,having_fun,1.0
usedfor,viewing_video,having_good_time,1.0
usedfor,viewing_video,learning,2.828
usedfor,viewing_video,learning_language,1.0
usedfor,viewing_video,learning_new,1.0
usedfor,viewing_video,relaxation,1.0
usedfor,viewing_video,relaxing,2.0
usedfor,viewing_video,reviewing_video,1.0
usedfor,viewing_video,spending_time_with_grandson,1.0
usedfor,viewing_video,watching_film,1.0
usedfor,viewing_video,watching_home_movies,1.0
usedfor,viewing_video,watching_memories,1.0
usedfor,viewing_video,watching_movie_star,1.0
usedfor,village,learning,1.0
usedfor,village,people_to_live_in,1.0
usedfor,village,playing,1.0
usedfor,village,raise_child,1.0
usedfor,village,sedentary_living,1.0
usedfor,viola,play_song,1.0
usedfor,viola,playing,1.0
usedfor,viola,playing_music,2.0
usedfor,viola,playing_sissy_music,1.0
usedfor,viola,sing_song,1.0
usedfor,violence,kill,1.0
usedfor,violence,terrorism,1.0
usedfor,violin,create_music,1.0
usedfor,violin,creating,2.0
usedfor,violin,creating_art,1.0
usedfor,violin,entertaining,1.0
usedfor,violin,entertainment,1.0
usedfor,violin,fu_n,1.0
usedfor,violin,making_lovely_music,1.0
usedfor,violin,mkae_annoying_noises,1.0
usedfor,violin,music,1.0
usedfor,violin,play_music,2.828
usedfor,violin,playing,1.0
usedfor,violin,playing_music,5.657
usedfor,violin,playing_music_on_stringed_instrument,1.0
usedfor,visa_card,acquiring_debt,1.0
usedfor,visa_card,adults_not_kids,1.0
usedfor,visiting_museum,entertainment,1.0
usedfor,visiting_museum,feeling_young,1.0
usedfor,visiting_museum,finding_out_about_past,1.0
usedfor,visiting_museum,finding_out_about_world,1.0
usedfor,visiting_museum,fun,2.0
usedfor,visiting_museum,getting_ideas_from_past_experiences,1.0
usedfor,visiting_museum,having_fun,1.0
usedfor,visiting_museum,having_fun_day,1.0
usedfor,visiting_museum,learing_about_past,1.0
usedfor,visiting_museum,learning_about_culture,1.0
usedfor,visiting_museum,learning_about_history,1.0
usedfor,visiting_museum,learning_about_other_places,1.0
usedfor,visiting_museum,learning_history,2.0
usedfor,lip,protect,1.0
usedfor,lip,speak,2.0
usedfor,lip,suck,2.0
usedfor,lip,whistling,2.0
usedfor,lips,communicate,2.828
usedfor,lips,flapping,1.0